music_neu_3
0 0:0.05 1:0.55 2:0.4 
0 0:0.0 1:0.571428571429 2:0.428571428571 
0 0:0.0 1:0.357142857143 2:0.642857142857 
0 0:0.0 1:0.428571428571 2:0.571428571429 
0 0:0.0 1:1.0 2:0.0 
0 0:0.117647058824 1:0.764705882353 2:0.117647058824 
0 0:0.5 1:0.5 2:0.0 
0 0:0.714285714286 1:0.285714285714 2:0.0 
0 0:0.125 1:0.875 2:0.0 
0 0:0.125 1:0.75 2:0.125 

music_pos_76
0 0:0.0 1:1.0 2:0.0 
0 0:0.0 1:0.857142857143 2:0.142857142857 
0 0:0.0 1:0.888888888889 2:0.111111111111 
0 0:0.0 1:1.0 2:0.0 
0 0:0.181818181818 1:0.727272727273 2:0.0909090909091 
-1 0:0.8 1:0.0 2:0.2 

books_neg_104
0 0:0.0 1:1.0 2:0.0 
0 0:0.0 1:0.8 2:0.2 
0 0:0.4 1:0.5 2:0.1 
0 0:0.0285714285714 1:0.914285714286 2:0.0571428571429 
0 0:0.36 1:0.52 2:0.12 
-1 0:1.0 1:0.0 2:0.0 
0 0:0.5 1:0.375 2:0.125 
0 0:0.0 1:1.0 2:0.0 
-1 0:0.5 1:0.5 2:0.0 
0 0:0.428571428571 1:0.571428571429 2:0.0 
0 0:0.285714285714 1:0.714285714286 2:0.0 
0 0:0.0 1:0.833333333333 2:0.166666666667 
-1 0:0.333333333333 1:0.666666666667 2:0.0 
0 0:0.0416666666667 1:0.916666666667 2:0.0416666666667 
0 0:0.0384615384615 1:0.961538461538 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.0 1:0.96 2:0.04 
0 0:0.0 1:1.0 2:0.0 

videogames_neu_29
0 0:0.0 1:0.833333333333 2:0.166666666667 
0 0:0.2 1:0.4 2:0.4 
0 0:0.142857142857 1:0.857142857143 2:0.0 
0 0:0.125 1:0.875 2:0.0 
0 0:0.625 1:0.375 2:0.0 
0 0:0.4 1:0.6 2:0.0 
0 0:0.666666666667 1:0.333333333333 2:0.0 
0 0:0.111111111111 1:0.777777777778 2:0.111111111111 
0 0:0.133333333333 1:0.8 2:0.0666666666667 
0 0:0.266666666667 1:0.666666666667 2:0.0666666666667 
-1 0:0.25 1:0.583333333333 2:0.166666666667 
0 0:0.125 1:0.875 2:0.0 
0 0:0.333333333333 1:0.666666666667 2:0.0 
0 0:0.428571428571 1:0.428571428571 2:0.142857142857 
0 0:0.153846153846 1:0.769230769231 2:0.0769230769231 
0 0:0.555555555556 1:0.333333333333 2:0.111111111111 
0 0:0.358974358974 1:0.564102564103 2:0.0769230769231 
0 0:0.363636363636 1:0.636363636364 2:0.0 
0 0:0.181818181818 1:0.818181818182 2:0.0 
0 0:0.333333333333 1:0.666666666667 2:0.0 
0 0:0.5 1:0.5 2:0.0 
0 0:0.0 1:0.8 2:0.2 
0 0:0.2 1:0.8 2:0.0 
0 0:0.142857142857 1:0.142857142857 2:0.714285714286 
0 0:0.285714285714 1:0.714285714286 2:0.0 
0 0:0.166666666667 1:0.777777777778 2:0.0555555555556 
0 0:0.136363636364 1:0.681818181818 2:0.181818181818 
0 0:0.333333333333 1:0.666666666667 2:0.0 

videogames_pos_22
0 0:0.1 1:0.8 2:0.1 
0 0:0.0 1:0.375 2:0.625 
0 0:0.047619047619 1:0.666666666667 2:0.285714285714 
0 0:0.166666666667 1:0.388888888889 2:0.444444444444 
0 0:0.0 1:0.727272727273 2:0.272727272727 
0 0:0.625 1:0.25 2:0.125 

music_neu_15
0 0:0.111111111111 1:0.888888888889 2:0.0 
0 0:0.105263157895 1:0.526315789474 2:0.368421052632 
0 0:0.25 1:0.625 2:0.125 
0 0:0.428571428571 1:0.571428571429 2:0.0 
0 0:0.166666666667 1:0.833333333333 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.285714285714 1:0.571428571429 2:0.142857142857 

dvds_neu_5
0 0:0.027027027027 1:0.954954954955 2:0.018018018018 
0 0:0.25 1:0.666666666667 2:0.0833333333333 
0 0:0.0697674418605 1:0.883720930233 2:0.046511627907 
0 0:0.333333333333 1:0.5 2:0.166666666667 
0 0:0.047619047619 1:0.857142857143 2:0.0952380952381 
0 0:0.1875 1:0.75 2:0.0625 
0 0:0.125 1:0.8125 2:0.0625 
0 0:0.0714285714286 1:0.857142857143 2:0.0714285714286 
0 0:0.0 1:1.0 2:0.0 

books_neg_96
0 0:0.285714285714 1:0.714285714286 2:0.0 
0 0:0.5 1:0.5 2:0.0 
0 0:0.363636363636 1:0.636363636364 2:0.0 
0 0:0.555555555556 1:0.444444444444 2:0.0 
0 0:0.0 1:0.6 2:0.4 
-1 0:0.285714285714 1:0.714285714286 2:0.0 
0 0:0.285714285714 1:0.714285714286 2:0.0 
0 0:0.333333333333 1:0.611111111111 2:0.0555555555556 
0 0:0.333333333333 1:0.666666666667 2:0.0 
0 0:0.461538461538 1:0.461538461538 2:0.0769230769231 
0 0:0.333333333333 1:0.666666666667 2:0.0 
0 0:0.357142857143 1:0.571428571429 2:0.0714285714286 
-1 0:0.551724137931 1:0.379310344828 2:0.0689655172414 
0 0:0.470588235294 1:0.529411764706 2:0.0 
0 0:0.0769230769231 1:0.923076923077 2:0.0 
0 0:0.0454545454545 1:0.909090909091 2:0.0454545454545 
0 0:0.0 1:1.0 2:0.0 
0 0:0.166666666667 1:0.833333333333 2:0.0 
0 0:0.333333333333 1:0.333333333333 2:0.333333333333 

music_neg_10
0 0:0.2 1:0.8 2:0.0 
0 0:0.2 1:0.8 2:0.0 
0 0:0.333333333333 1:0.666666666667 2:0.0 
0 0:0.333333333333 1:0.666666666667 2:0.0 
0 0:0.615384615385 1:0.384615384615 2:0.0 
0 0:0.428571428571 1:0.428571428571 2:0.142857142857 

dvds_neu_69
0 0:0.0952380952381 1:0.761904761905 2:0.142857142857 
0 0:0.181818181818 1:0.818181818182 2:0.0 
0 0:0.0408163265306 1:0.428571428571 2:0.530612244898 
0 0:0.111111111111 1:0.666666666667 2:0.222222222222 
0 0:0.25 1:0.5 2:0.25 
0 0:0.111111111111 1:0.777777777778 2:0.111111111111 
0 0:0.105263157895 1:0.789473684211 2:0.105263157895 
0 0:0.0689655172414 1:0.896551724138 2:0.0344827586207 
0 0:0.0 1:1.0 2:0.0 
0 0:0.2 1:0.666666666667 2:0.133333333333 
0 0:0.583333333333 1:0.416666666667 2:0.0 
0 0:0.0 1:0.8 2:0.2 
0 0:0.0175438596491 1:0.561403508772 2:0.421052631579 
0 0:0.1 1:0.6 2:0.3 
0 0:0.25 1:0.75 2:0.0 
0 0:0.5 1:0.5 2:0.0 
0 0:0.3 1:0.6 2:0.1 
0 0:0.333333333333 1:0.666666666667 2:0.0 
0 0:0.0 1:0.666666666667 2:0.333333333333 
0 0:0.0833333333333 1:0.416666666667 2:0.5 

books_neu_27
0 0:0.0 1:1.0 2:0.0 
0 0:0.433333333333 1:0.533333333333 2:0.0333333333333 
-1 0:0.2 1:0.4 2:0.4 
0 0:0.0 1:0.909090909091 2:0.0909090909091 
0 0:0.0909090909091 1:0.818181818182 2:0.0909090909091 
0 0:0.0 1:0.857142857143 2:0.142857142857 

music_pos_18
0 0:0.181818181818 1:0.454545454545 2:0.363636363636 
0 0:0.0714285714286 1:0.857142857143 2:0.0714285714286 
0 0:0.0 1:0.857142857143 2:0.142857142857 
0 0:0.125 1:0.5 2:0.375 
0 0:0.222222222222 1:0.666666666667 2:0.111111111111 
0 0:0.0 1:0.714285714286 2:0.285714285714 
0 0:0.111111111111 1:0.444444444444 2:0.444444444444 
0 0:0.0 1:0.5 2:0.5 
